State,Notes,Total Medicaid Enrollees,Individuals Enrolled (Any),Percent of all Medicaid enrollees (Any),Individuals Enrolled (Comprehensive),Percent of all Medicaid enrollees (Comprehensive),Year
Minnesota,,"1,253,815","1,150,333",91.7%,"1,086,715",86.7%,2021
Mississippi,,"776,482","475,168",61.2%,"475,168",61.2%,2021
Missouri,,"1,048,083","810,775",77.4%,"777,173",74.2%,2021
Montana,,"309,776","245,390",79.2%,0,0.0%,2021
Nebraska,,"336,290","334,939",99.6%,"334,931",99.6%,2021
Nevada,,"847,650","792,428",93.5%,"641,100",75.6%,2021
New Hampshire,,"239,439","218,604",91.3%,"218,604",91.3%,2021
New Jersey,,"1,892,091","1,821,033",96.2%,"1,821,033",96.2%,2021
New Mexico,,"941,830","781,820",83.0%,"781,820",83.0%,2021
New York,,"7,145,884","5,620,459",78.7%,"5,377,127",75.2%,2021
North Carolina,,"2,557,593","2,054,350",80.3%,"1,549,975",60.6%,2021
North Dakota,,"125,354","86,164",68.7%,"33,806",27.0%,2021
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,2021
Ohio,,"3,238,849","2,782,891",85.9%,"2,782,891",85.9%,2021
Oklahoma,,"1,065,121","1,049,630",98.5%,"1,171",0.1%,2021
Oregon8,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs), (2) Dental Care Organizations (DCOs), and (3) the Mental Health Organization. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","1,286,095","1,164,999",90.6%,"1,164,999",90.6%,2021
Pennsylvania,,"3,292,313","3,155,790",95.9%,"3,090,783",93.9%,2021
Puerto Rico,,"1,501,860","1,501,860",100.0%,"1,501,860",100.0%,2021
Rhode Island,,"339,276","336,240",99.1%,"287,052",84.6%,2021
South Carolina,,"1,446,070","1,446,070",100.0%,"962,377",66.6%,2021
South Dakota,,"137,268","83,890",61.1%,0,0.0%,2021
Tennessee,,"1,717,984","1,596,482",92.9%,"1,596,482",92.9%,2021
Texas,,"4,928,655","4,770,549",96.8%,"4,024,322",81.7%,2021
Utah,,"424,565","402,216",94.7%,"351,918",82.9%,2021
Vermont,,"191,240","131,002",68.5%,"131,002",68.5%,2021
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,2021
Virginia,,"1,852,563","1,692,156",91.3%,"1,692,156",91.3%,2021
Washington,,"2,008,655","2,008,655",100.0%,"1,772,786",88.3%,2021
West Virginia,,"599,336","488,048",81.4%,"488,048",81.4%,2021
Wisconsin,,"1,484,746","1,081,647",72.9%,"1,026,481",69.1%,2021
Wyoming9,"Wyoming's Total Medicaid Enrollment as of July 1, 2021 was taken from the July - September 2021 enrollment data collected through the Medicaid Budget and Expenditure System, updated January 2023, and accessed April 2, 2023. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","73,227",0,0.0%,0,0.0%,2021
TOTALS,--,"98,019,715","83,331,189",85.0%,"73,639,082",75.1%,2022
Alabama,--,"1,287,819","1,028,114",79.8%,179,0.0%,2022
Alaska,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","254,283",0,0.0%,0,0.0%,2022
American Samoa,--,n/a,n/a,n/a,n/a,n/a,2022
Arizona,--,"2,412,424","2,066,895",85.7%,"1,938,718",80.4%,2022
Arkansas,--,"1,763,975","1,707,791",96.8%,"64,026",3.6%,2022
California,--,"15,136,020","12,841,729",84.8%,"12,781,265",84.4%,2022
Colorado,--,"1,608,310","1,544,749",96.0%,"4,525",0.3%,2022
Connecticut,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","1,140,225",0,0.0%,0,0.0%,2022
Delaware,--,"302,869","268,117",88.5%,"261,758",86.4%,2022
District of Columbia,--,"300,381","288,796",96.1%,"259,159",86.3%,2022
Florida,--,"5,399,695","5,076,398",94.0%,"4,202,917",77.8%,2022
Georgia,--,"2,734,003","2,416,856",88.4%,"2,008,026",73.4%,2022
Guam,--,n/a,n/a,n/a,n/a,n/a,2022
Hawaii,--,"450,268","450,159",99.9%,"450,159",99.9%,2022
Idaho,--,"424,893","404,124",95.1%,"25,689",6.0%,2022
Illinois,--,"3,726,082","2,796,521",75.1%,"2,796,521",75.1%,2022
Indiana,--,"2,070,992","1,659,715",80.1%,"1,659,715",80.1%,2022
Iowa,--,"803,050","761,121",94.8%,"753,561",93.8%,2022
Kansas,--,"525,725","443,835",84.4%,"443,835",84.4%,2022
Kentucky,--,"1,651,543","1,494,070",90.5%,"1,494,070",90.5%,2022
Louisiana,--,"1,985,537","1,839,327",92.6%,"1,694,452",85.3%,2022
Maine,--,"393,783","345,429",87.7%,0,0.0%,2022
Maryland,--,"1,734,624","1,496,250",86.3%,"1,496,250",86.3%,2022
Massachusetts,--,"2,091,955","1,387,657",66.3%,"848,004",40.5%,2022
Michigan,--,"3,092,404","3,074,187",99.4%,"3,074,159",99.4%,2022
Minnesota,--,"1,348,563","1,168,879",86.7%,"1,180,108",87.5%,2022
Mississippi,--,"858,687","367,137",42.8%,"365,169",42.5%,2022
Missouri,--,"1,278,851","1,016,503",79.5%,"1,016,515",79.5%,2022
Montana,--,"289,659","243,475",84.1%,0,0.0%,2022
Nebraska,--,"374,783","373,534",99.7%,"373,492",99.7%,2022
Nevada,--,"923,168","839,650",91.0%,"698,726",75.7%,2022
New Hampshire,--,"256,087","236,926",92.5%,"236,926",92.5%,2022
New Jersey,--,"2,022,155","1,950,681",96.5%,"2,019,216",99.9%,2022
New Mexico,--,"984,008","814,749",82.8%,"814,749",82.8%,2022
New York,--,"7,589,766","5,889,363",77.6%,"5,640,784",74.3%,2022
North Carolina,--,"2,804,306","2,245,044",80.1%,"1,700,679",60.6%,2022
North Dakota,--,"133,631","95,076",71.1%,"36,865",27.6%,2022
Northern Mariana Islands,--,n/a,n/a,n/a,n/a,n/a,2022
Ohio,--,"3,425,876","2,962,997",86.5%,"2,962,985",86.5%,2022
Oklahoma,--,"1,273,948","824,413",64.7%,713,0.1%,2022
Oregon,--,"1,393,623","1,265,779",90.8%,"1,265,779",90.8%,2022
Pennsylvania,--,"3,534,344","3,484,439",98.6%,"3,288,966",93.1%,2022
Puerto Rico,--,"1,597,058","1,594,058",99.8%,"1,594,058",99.8%,2022
Rhode Island,--,"357,304","351,133",98.3%,"300,893",84.2%,2022
South Carolina,--,"1,550,759","1,060,312",68.4%,"1,045,650",67.4%,2022
South Dakota,--,"149,096","104,455",70.1%,0,0.0%,2022
Tennessee,--,"1,817,119","1,697,632",93.4%,"1,697,632",93.4%,2022
Texas,--,"5,543,480","5,328,691",96.1%,"5,295,360",95.5%,2022
Utah,--,"477,832","449,492",94.1%,"396,559",83.0%,2022
Vermont,--,"199,989","134,347",67.2%,"134,337",67.2%,2022
Virgin Islands,--,n/a,n/a,n/a,n/a,n/a,2022
Virginia,--,"1,978,005","1,794,045",90.7%,"1,794,045",90.7%,2022
Washington,--,"2,229,539","1,894,623",85.0%,"1,894,623",85.0%,2022
West Virginia,--,"660,068","589,322",89.3%,"521,017",78.9%,2022
Wisconsin,--,"1,593,772","1,162,594",72.9%,"1,106,248",69.4%,2022
Wyoming,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","83,379",0,0.0%,0,0.0%,2022
